percentage_mul,channels,DSP,LUT,FF,CLB,CLB_util,size,freq (MHz)
10,1,393,247279,585255,85528,52.48,19x69,768
20,1,786,242177,578835,86907,53.33,19x69,757
30,1,1179,237056,572434,87246,53.54,19x69,745
40,1,1572,232028,566031,87634,53.78,19x69,755
50,1,1965,226883,548443,86951,53.36,19x69,750
60,1,2358,221807,539785,85476,52.45,19x69,750
70,1,2751,216592,531153,86163,52.87,19x69,763
80,1,3144,211533,522505,84336,51.75,19x69,711
90,1,3537,206458,513862,83618,51.31,19x69,740
100,1,3933,201246,505132,80132,49.17,19x69,740
10,2,393,369027,1002770,116099,71.24,19x69,750
20,2,786,362825,996607,116578,71.54,19x69,739
30,2,1179,356364,990449,117452,72.07,19x69,717
40,2,1572,350037,984324,117071,71.84,19x69,720
50,2,1965,343853,978136,117960,72.39,19x69,701
60,2,2358,337559,971977,118239,72.56,19x69,716
70,2,2751,331091,965830,117900,72.35,19x69,691
80,2,3144,324884,959663,118222,72.55,19x69,723
90,2,3537,318551,953510,117662,72.2,19x69,704
100,2,3933,324010,902763,115917,71.13,19x69,712
10,3,393,541646,1766892,138434,84.95,19x69,674
20,3,786,536374,1768937,137825,84.58,19x69,682
30,3,1179,534178,1752353,132699,81.43,19x69,693
40,3,1572,526090,1772868,138136,84.77,19x69,682
50,3,1965,520629,1774796,133802,82.11,19x69,681
60,3,2358,522517,1739760,155339,95.32,19x69,677
70,3,2751,518048,1735728,132613,81.38,19x69,687
80,3,3144,514505,1731412,137665,84.48,19x69,645
90,3,3537,500157,1782857,134731,82.68,19x69,672
100,3,3933,494958,1784809,134939,82.8,19x69,664
