name,unroll_factor,target_ii,achieved_ii,adder,multiplier,lut_usage,ff_usage,dsp_usage,achieved_frequency,latency_min,latency_max
adder_chain,170,1,1,3,0,16012,43572,0,689.66,12,12
adder_chain,306,2,2,1,0,28804,58889,0,341.18,12,12
adder_chain,306,3,3,1,0,21301,58922,0,449.44,15,15
adder_chain,612,4,4,3,0,53092,118548,0,353.61,12,12
adder_chain,765,5,5,3,0,50820,148800,0,284.33,13,13
approx1,90,1,1,4,3,13994,41687,810,537.63,32,32
approx1,207,2,2,2,1,35663,92587,1863,420.52,30,30
approx1,306,3,3,1,1,51422,154271,2754,279.10,30,30
approx1,324,4,4,4,3,53278,164795,2916,284.17,35,35
approx1,405,5,5,4,3,65943,204047,3645,259.07,32,32
bellido,90,1,1,5,3,8058,27759,810,500.75,24,24
bellido,207,2,2,2,1,19119,59133,1863,471.25,21,21
bellido,306,3,3,1,1,27979,86474,2754,302.76,23,23
bellido,408,4,4,5,3,37146,115352,3672,234.52,23,23
bellido,510,5,5,5,3,46218,144186,4590,225.38,25,25
caprasse,92,1,1,3,6,16183,58224,1104,546.15,31,31
caprasse,207,2,2,1,3,38027,135286,2484,467.73,28,28
caprasse,306,3,3,1,2,39512,244467,3672,240.33,29,29
caprasse,324,4,4,3,6,39693,252353,3888,195.16,34,34
caprasse,405,5,5,3,6,56120,257278,4860,233.43,31,31
dct,12,1,1,32,22,11031,30529,756,693.00,100,100
dct,27,2,2,16,11,21651,65873,1701,433.65,90,90
dct,44,3,3,10,7,34433,101430,2772,290.61,84,84
dct,66,4,4,8,5,54274,149360,4158,246.31,76,76
dct,81,5,5,6,4,63748,181710,5103,248.20,77,77
deriche,6,1,1,35,45,8694,31244,582,701.26,213,213
deriche,14,2,2,17,22,19248,72684,1344,406.50,187,187
deriche,27,3,3,11,15,36311,119419,2592,366.03,152,152
deriche,32,4,4,8,11,41232,141399,3072,167.64,167,167
deriche,39,5,5,7,9,51106,196925,3744,228.41,175,175
fig3,170,1,1,2,1,14999,42301,510,690.61,18,18
fig3,306,2,2,2,1,31297,81355,918,604.59,18,18
fig3,459,3,3,2,1,38472,140562,1377,298.51,18,18
fig3,612,4,4,2,1,40012,176548,1836,451.26,21,21
fig3,765,5,5,2,1,34050,199395,2295,383.00,21,21
gaussian,33,1,1,8,9,8801,43381,891,602.77,46,46
gaussian,66,2,2,4,4,16670,85670,1782,422.65,44,44
