name,unroll_factor,target_ii,achieved_ii,adder,multiplier,lut_usage,ff_usage,dsp_usage,achieved_frequency,latency_min,latency_max
adder_chain,170,1,1,3,0,16349,38132,0,335.12,12,12
adder_chain,306,2,2,1,0,19613,58941,0,694.93,12,12
adder_chain,306,3,3,1,0,19863,58947,0,668,15,15
adder_chain,612,4,4,3,0,69732,118665,0,329.71,12,12
adder_chain,765,5,5,3,0,75749,131349,0,380.95,13,13
approx1,90,1,1,4,3,15522,49505,810,548.25,32,32
approx1,207,2,3,2,1,38738,85163,621,478.93,36,36
approx1,306,3,3,1,1,48091,141708,918,417.71,30,30
approx1,324,4,4,4,3,50705,152495,2916,290.02,33,33
approx1,405,5,5,4,3,74270,197932,3645,269.98,31,31
bellido,90,1,1,5,3,7838,36837,810,513.35,25,25
bellido,207,2,3,2,1,22496,61315,654,424.09,27,27
bellido,306,3,3,1,1,45740,88046,918,173.22,24,24
bellido,408,4,4,5,3,39295,115525,3672,294.81,22,22
bellido,510,5,5,5,3,56633,170227,4590,212.68,24,24
caprasse,92,1,1,3,6,16536,77916,1104,641.44,32,32
caprasse,207,2,2,1,3,51945,128049,1863,330.69,29,29
caprasse,306,3,3,1,2,68082,218796,1836,323.31,30,30
caprasse,324,4,4,3,6,37830,200042,3888,243.49,33,33
caprasse,405,5,5,3,6,47065,235094,4860,219.68,31,31
dct,12,1,1,32,22,11151,30683,756,671.14,100,100
dct,27,2,2,16,11,38730,58416,891,112.41,90,90
dct,44,3,3,10,7,52742,74481,924,125.66,84,84
dct,66,4,5,8,5,89254,90949,990,50.45,91,91
dct,81,5,6,6,4,,,,0,89,89
deriche,6,1,1,35,45,8997,31637,582,673.85,214,214
deriche,14,2,2,17,22,27695,67656,924,146.97,188,188
deriche,27,3,3,11,15,56995,130546,1215,179.92,157,157
deriche,32,4,4,8,11,65239,127484,1056,163.69,174,174
deriche,39,5,5,7,9,80890,146102,1053,98.02,174,174
fig3,170,1,1,2,1,18059,52882,510,718.39,19,19
fig3,306,2,2,2,1,22951,86628,918,108.62,19,19
fig3,459,3,3,2,1,30767,150550,1377,330.25,19,19
fig3,612,4,4,2,1,61582,183038,1836,340.72,19,19
fig3,765,5,5,2,1,55886,209098,2295,302.94,20,20
gaussian,33,1,1,8,9,11170,47262,891,594.18,47,47
gaussian,66,2,3,4,4,34042,69432,792,167.5,60,60
gaussian,102,3,3,2,3,45874,94283,918,114,45,45
gaussian,153,4,5,2,2,87571,124573,918,153.4,47,47
gaussian,207,5,9,1,1,110008,148578,621,86.75,58,58
iir8,22,1,1,7,14,28149,74041,990,670.24,121,121
iir8,33,2,3,7,7,32982,111592,693,519.48,168,168
iir8,52,3,3,4,5,48575,149682,780,347.22,138,138
iir8,81,4,5,3,3,90611,183078,729,85.89,142,142
iir8,102,5,5,2,3,100966,249385,918,98.92,133,133
level1_linear,138,1,1,2,2,14115,51920,828,520.02,27,27
level1_linear,306,2,2,1,1,45573,111454,918,462.11,26,26
level1_linear,414,3,3,2,2,37537,151804,2484,187.62,26,26
